search_query,id,missedIngredientCount,type,aisle,usedIngredientCount,title,name,unit,amount
apple flour,715381,3,missed_ingredients,Sweet Snacks;Baking,0,Creamy Lime Pie Square Bites,graham cracker crumbs,cup,1.0
apple flour,715381,3,missed_ingredients,Produce,0,Creamy Lime Pie Square Bites,lime zest,drop,2.0
apple flour,715381,3,missed_ingredients,"Milk, Eggs, Other Dairy",0,Creamy Lime Pie Square Bites,unsalted butter,Tbsp,5.0
apple flour,639637,3,missed_ingredients,"Milk, Eggs, Other Dairy",0,Classic scones,milk,cup,0.75
apple flour,639637,3,missed_ingredients,"Nut butters, Jams, and Honey",0,Classic scones,strawberry jam,servings,4.0
apple flour,639637,3,missed_ingredients,"Milk, Eggs, Other Dairy",0,Classic scones,unsalted butter,g,50.0
apple flour,639779,3,missed_ingredients,Baking,0,Coconut Macaroons With Chocolate Drizzle,sweetened coconut,cups,5.5
apple flour,639779,3,missed_ingredients,Baking,0,Coconut Macaroons With Chocolate Drizzle,vanilla extract,teaspoons,2.0
apple flour,639779,3,missed_ingredients,Baking,0,Coconut Macaroons With Chocolate Drizzle,sweetened condensed milk,oz,14.0
apple flour,643809,3,missed_ingredients,Cheese,0,Fried String Cheese Sticks,string cheese,,4.0
apple flour,643809,3,missed_ingredients,"Milk, Eggs, Other Dairy",0,Fried String Cheese Sticks,egg,tablespoon,1.0
apple flour,643809,3,missed_ingredients,"Bakery/Bread;Oil, Vinegar, Salad Dressing;Baking",0,Fried String Cheese Sticks,italian seasoned bread crumbs,cup,0.5
apple flour,652952,3,missed_ingredients,"Milk, Eggs, Other Dairy",0,Napoleon - A Creamy Puff Pastry Cake,eggs,,6.0
apple flour,652952,3,missed_ingredients,"Milk, Eggs, Other Dairy",0,Napoleon - A Creamy Puff Pastry Cake,milk,gallon,0.25
apple flour,652952,3,missed_ingredients,Refrigerated;Frozen,0,Napoleon - A Creamy Puff Pastry Cake,puff pastry,sheets,2.0
yogurt orange,716422,2,missed_ingredients,Produce,1,Caramelized Onion Dip,caramelized onions,c,0.6666667
yogurt orange,716422,2,missed_ingredients,Produce,1,Caramelized Onion Dip,fresh chives,T,2.0
